Job Title,Company,Location,Date Applied,Status
Software Engineer,TechCorp,New York,2025-06-01,Interview Scheduled
Frontend Developer,Webify,Remote,2025-06-03,Application Sent
QA Analyst,QualityWorks,Boston,2025-06-05,Rejected
UI/UX Designer,Designify,Los Angeles,2025-06-07,Offer Received
Backend Developer,ServerSide,Remote,2025-06-09,Application Sent
DevOps Engineer,CloudOps,Remote,2025-06-11,Interview Scheduled
Product Manager,InnovateX,San Francisco,2025-06-13,Application Sent
Mobile Developer,Appify,Remote,2025-06-15,Rejected
Data Scientist,DataWiz,Chicago,2025-06-17,Offer Received
System Admin,NetSecure,Remote,2025-06-19,Application Sent
Business Analyst,Insightful,New York,2025-06-21,Interview Scheduled
Full Stack Developer,Stackly,Remote,2025-06-23,Application Sent
Support Engineer,HelpDesk,Remote,2025-06-25,Rejected
Cloud Architect,Cloudify,Remote,2025-06-27,Offer Received
Scrum Master,AgileWorks,Remote,2025-06-29,Application Sent
